V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,class,target
10.83,47.56,45.35,9.93,22.86,nan,23.10,nan,2.78,33.39,39.05,2.02,4.38,5.78,10.15,8.80,20.24,7.40,13.21,nan,13.90,23.57,9.02,1.30,4.04,16.28,13.14,13.13,44.34,10.28,20.50,17.19,3.97,22.09,6.35,21.55,4,0.5334
8.82,nan,41.56,12.07,29.25,34.86,36.53,34.41,3.53,30.74,43.10,3.35,1.56,3.56,7.77,12.82,16.30,12.85,15.02,13.46,15.28,24.00,14.10,6.41,3.74,12.34,14.63,7.57,22.78,13.74,19.22,13.28,2.16,18.25,6.95,17.80,4,0.5212
13.85,53.84,34.39,8.30,24.45,31.98,39.00,23.82,3.46,32.13,54.12,2.83,3.56,3.06,8.63,17.59,16.87,11.47,13.13,14.65,18.32,15.45,13.15,7.46,3.02,12.32,17.87,12.61,32.03,12.87,14.97,20.02,4.59,24.06,8.82,nan,4,0.5436
15.35,46.05,46.93,6.84,nan,32.03,60.38,25.15,nan,31.11,35.49,3.99,4.17,2.44,8.39,18.43,7.31,4.71,8.61,18.36,10.56,27.93,9.87,12.97,2.90,6.42,19.05,4.36,23.26,9.53,22.99,nan,4.60,18.52,7.71,28.11,3,0.5357
8.65,67.04,34.50,5.62,24.52,45.71,39.52,27.21,3.23,43.57,51.97,5.26,5.64,4.99,9.57,16.77,12.98,11.60,13.11,11.17,19.85,37.95,16.30,7.55,5.07,15.77,17.81,13.72,24.48,10.34,20.72,14.79,5.41,13.49,9.61,20.93,4,0.5759
13.06,19.37,39.92,6.47,29.07,22.74,24.38,45.92,4.54,24.33,37.49,2.00,5.95,5.09,11.61,14.24,22.69,2.22,9.55,14.29,7.46,32.64,10.05,4.85,4.41,22.76,8.42,11.43,52.87,15.47,nan,7.53,4.40,17.47,7.62,13.55,4,0.4814
10.06,58.65,40.10,12.03,33.44,47.18,25.62,38.28,3.82,37.21,39.15,4.52,3.24,4.35,5.68,10.18,14.10,7.98,14.29,nan,15.33,36.56,17.23,15.19,3.88,14.97,17.05,12.54,45.80,6.60,14.38,14.55,3.26,15.57,5.70,21.89,1,0.5743
5.53,52.18,38.65,10.91,41.87,31.12,36.75,45.49,4.87,30.09,40.51,nan,4.94,3.26,10.76,5.88,8.56,12.32,6.26,14.96,17.76,36.81,13.09,11.12,3.64,11.17,20.67,nan,nan,9.58,19.97,10.74,2.45,9.42,9.97,20.44,5,0.5184
9.26,nan,30.62,11.87,25.64,47.06,23.70,31.40,3.79,21.29,35.31,4.42,4.55,4.61,9.63,19.05,nan,11.97,10.91,15.47,14.42,22.47,12.27,15.11,4.89,12.31,14.99,15.07,37.69,9.27,15.56,17.16,2.87,16.91,9.47,18.16,1,0.5386
6.29,45.65,31.93,11.38,39.51,36.15,29.35,37.18,5.32,20.21,37.76,2.95,3.62,3.31,11.37,13.48,19.48,12.97,9.18,12.29,17.13,23.64,9.73,10.60,5.12,14.68,15.24,11.98,32.70,16.90,16.10,nan,2.09,11.36,14.21,17.10,0,0.5195
10.95,57.56,29.51,11.94,29.57,51.89,33.00,32.13,4.16,30.19,37.56,6.28,3.72,3.58,7.92,22.65,18.93,7.24,11.52,14.49,13.79,29.10,13.20,11.55,4.57,15.60,13.65,15.97,39.09,6.93,11.34,14.10,nan,18.23,10.85,21.72,1,0.5607
7.33,67.63,nan,14.42,30.07,49.47,31.38,38.26,2.52,23.41,39.27,3.51,4.27,4.01,13.46,15.31,18.15,13.17,8.25,nan,17.48,28.55,11.34,10.51,2.60,10.51,15.17,16.34,25.76,6.02,20.99,17.77,3.76,9.20,13.71,18.76,4,0.5486
9.62,46.12,35.08,6.70,28.68,29.17,28.71,37.76,4.49,30.80,54.82,3.67,3.23,2.37,nan,11.14,14.02,9.99,10.77,13.14,21.16,26.15,13.36,6.34,2.98,14.79,10.68,9.40,39.38,12.17,12.16,13.98,2.80,14.54,5.43,19.07,5,0.5153
13.98,48.41,47.77,7.71,35.25,26.54,34.23,nan,3.89,28.35,69.81,4.42,5.41,nan,15.68,11.18,11.04,8.85,14.34,8.83,15.77,29.55,11.91,11.86,4.15,20.52,16.58,12.52,46.11,11.87,17.23,20.33,3.59,14.72,10.46,12.64,0,0.5837
10.28,39.97,47.93,7.17,31.10,34.09,67.80,14.35,2.23,33.58,42.43,3.98,3.93,3.79,9.86,20.73,7.55,3.92,12.98,14.35,8.39,26.50,11.08,nan,4.44,5.12,22.51,3.55,nan,13.22,23.49,19.50,2.79,21.66,13.79,nan,3,0.5347
8.04,44.99,49.47,7.95,36.02,30.39,17.21,48.94,3.76,36.31,53.94,2.79,4.34,2.12,9.95,4.75,9.60,8.38,13.51,15.84,16.27,35.09,8.45,8.83,3.70,19.42,18.62,11.44,52.53,9.99,13.59,14.38,3.52,11.73,4.92,21.23,5,0.5528
11.91,56.25,47.40,7.04,36.04,36.27,37.58,34.32,3.32,27.35,57.30,0.72,4.92,1.66,13.23,18.73,9.13,8.29,13.53,14.30,13.85,32.38,13.05,11.53,3.65,17.69,9.99,10.31,39.10,4.93,14.44,15.75,3.81,20.83,10.00,19.24,0,0.5729
nan,55.37,31.22,10.36,2.67,40.04,32.89,25.75,3.12,34.34,51.29,3.75,4.74,5.31,6.71,15.88,19.60,6.54,8.35,15.79,18.71,22.72,9.34,6.19,5.67,9.52,21.48,14.30,31.83,5.75,17.08,24.61,2.89,20.17,5.81,nan,4,0.5116
13.86,24.32,43.09,13.17,45.96,15.02,23.39,60.38,3.82,6.47,nan,5.24,1.72,4.94,11.88,12.32,25.23,12.12,8.87,nan,15.23,15.99,13.27,7.53,3.31,29.95,10.74,2.86,52.14,nan,2.07,9.21,3.36,17.32,10.93,15.80,4,0.5178
11.85,27.08,45.95,4.52,44.68,nan,13.03,49.29,3.68,15.58,26.01,4.49,4.04,2.25,12.79,3.43,25.25,6.79,9.87,22.95,7.68,29.19,18.08,10.29,5.01,20.17,4.33,7.70,56.62,11.52,11.74,5.45,4.48,27.61,11.86,14.19,4,0.4868
13.88,35.25,28.60,15.15,29.60,21.91,36.40,31.39,2.74,nan,53.31,2.75,2.04,4.38,3.30,5.54,17.85,15.61,13.12,12.06,19.78,11.94,14.68,6.58,4.78,9.71,18.30,9.89,29.30,17.22,13.62,18.08,2.41,18.40,11.99,11.10,0,0.4986
8.88,34.27,58.13,nan,45.96,22.90,9.66,64.19,1.65,7.85,32.08,5.24,4.32,2.45,14.02,6.92,19.69,10.55,11.36,21.59,7.57,37.15,9.99,10.28,3.68,25.57,9.30,11.25,53.55,13.23,14.61,6.72,1.17,16.78,11.86,8.09,4,0.5233
8.90,45.74,27.19,4.05,31.95,39.63,26.71,35.50,3.54,30.89,42.53,4.14,4.92,4.91,13.62,19.28,19.35,5.85,10.16,13.97,12.34,29.92,11.04,8.55,3.51,15.23,15.84,15.95,nan,8.32,9.45,10.81,2.50,13.84,14.69,22.24,5,0.5242
9.52,58.12,31.44,6.64,11.04,40.10,35.95,nan,4.39,26.27,42.35,nan,5.03,5.17,12.02,19.32,20.69,6.80,4.40,17.69,17.11,29.87,11.13,12.12,5.99,10.29,20.84,14.27,30.33,9.53,18.99,23.60,4.30,16.89,9.13,17.60,4,0.5164
8.31,36.01,20.65,9.08,30.15,33.06,31.63,28.95,4.64,30.75,47.72,4.37,2.35,6.03,6.09,10.12,16.17,6.64,5.45,11.07,nan,36.02,15.35,8.03,3.84,16.76,10.86,16.18,41.02,12.57,8.54,14.63,3.14,19.12,16.47,8.92,0,0.5018
11.55,38.84,40.78,12.83,23.05,29.31,43.47,47.20,4.04,44.29,66.42,1.54,2.58,5.06,1.22,9.87,8.27,nan,10.56,12.46,7.79,54.27,17.28,nan,3.57,21.86,23.11,10.84,29.50,6.81,11.14,21.60,nan,12.82,7.76,8.63,0,0.5498
9.86,45.18,40.11,6.97,46.28,26.25,33.97,34.15,3.32,20.06,48.63,4.06,4.98,3.90,15.99,11.60,11.53,11.13,12.65,nan,18.89,14.38,10.45,10.75,3.51,9.44,14.46,10.10,41.62,15.91,14.62,16.92,4.88,14.97,nan,22.19,0,0.5483
11.70,58.82,58.48,12.59,24.95,34.92,54.82,47.26,4.97,33.67,nan,3.57,2.94,3.20,10.53,19.14,4.80,13.70,12.63,14.12,11.04,nan,12.45,6.32,5.18,22.23,22.78,9.29,13.23,11.41,24.44,19.20,1.73,10.29,7.58,12.01,2,0.5910
10.50,38.15,33.83,nan,26.77,nan,37.89,30.82,4.55,35.83,43.50,2.66,3.28,4.09,6.46,nan,15.47,5.41,10.68,12.58,nan,37.95,14.25,9.20,3.00,16.02,12.18,13.89,42.64,12.43,13.95,18.00,2.79,17.18,10.14,14.58,2,0.5323
11.02,35.04,41.93,8.94,44.76,24.96,19.56,53.24,3.95,26.45,41.25,3.07,4.34,3.58,16.92,nan,20.97,8.26,13.41,17.49,10.56,23.12,11.12,6.75,4.01,18.64,18.39,13.73,57.45,16.66,14.25,15.89,2.21,9.27,12.59,22.23,3,0.5520
7.03,47.68,19.49,3.94,32.49,30.88,39.36,18.94,5.83,25.40,15.49,3.78,4.51,2.56,14.25,nan,25.98,14.12,7.74,16.58,3.20,18.87,13.06,10.12,nan,0.14,5.46,19.35,27.06,nan,22.86,23.15,4.20,24.84,14.06,nan,2,0.4939
12.61,50.73,40.00,5.30,19.95,41.40,12.37,25.59,4.47,21.07,46.84,2.52,4.20,3.53,8.30,12.71,25.13,8.45,16.16,13.26,nan,29.24,14.62,16.93,nan,18.86,nan,12.72,53.76,nan,15.58,9.66,2.64,14.41,12.36,10.43,2,0.5318
9.83,52.42,43.49,6.49,24.79,36.16,30.87,31.97,2.82,27.00,51.65,4.73,4.59,3.73,8.26,11.37,15.02,10.13,10.99,15.98,17.96,35.20,13.87,nan,5.09,16.07,15.31,8.32,40.59,9.02,17.81,17.83,4.19,14.53,10.59,16.84,4,0.5497
11.83,31.03,47.20,5.66,32.70,11.43,30.76,52.31,4.45,20.28,80.40,4.60,2.59,3.16,11.42,11.69,14.48,15.19,8.17,11.52,10.10,35.65,9.23,12.01,5.04,28.03,18.16,4.82,43.83,10.78,7.92,20.49,3.86,10.23,11.27,11.36,0,0.5381
6.25,48.87,42.98,nan,28.30,39.53,35.57,42.43,4.01,26.01,34.65,nan,4.45,5.41,10.78,15.61,17.39,10.19,12.54,nan,14.76,31.63,14.97,7.11,4.06,13.11,16.98,7.26,20.37,14.94,18.17,10.47,2.98,12.94,7.17,17.40,4,0.5128
9.78,42.38,27.53,7.85,24.20,30.19,22.79,43.99,3.82,31.44,46.67,nan,4.74,2.67,9.33,11.86,16.63,10.93,9.01,14.78,14.60,31.92,11.72,9.05,5.16,11.77,17.83,15.17,38.08,11.24,10.06,13.71,nan,8.90,6.00,15.12,1,0.4935
6.93,19.44,46.41,13.23,28.83,24.51,33.73,56.44,4.74,42.92,70.04,3.05,5.55,3.73,5.54,3.80,6.95,5.40,12.03,10.87,7.22,52.63,13.43,nan,1.62,22.62,22.68,7.28,42.89,9.98,6.12,20.94,1.66,6.39,5.25,10.31,0,0.5272
8.77,41.41,45.18,7.56,nan,37.94,20.43,33.53,3.79,22.56,51.22,4.61,4.40,1.33,9.64,16.91,18.40,6.99,15.17,14.02,14.44,26.95,6.32,8.23,3.84,16.78,15.44,11.36,42.16,9.45,13.45,12.32,6.22,16.35,11.77,13.79,1,0.5137
9.15,38.96,33.00,8.84,24.06,34.71,34.77,30.08,4.17,28.95,48.38,2.52,nan,4.63,8.15,14.08,12.38,4.75,9.63,13.35,17.97,32.76,12.67,6.34,3.33,12.15,10.90,11.93,32.86,8.11,11.48,12.68,3.86,19.99,nan,12.19,0,0.4916
0.00,56.47,51.47,17.88,48.83,46.56,35.71,57.98,3.76,22.29,15.08,2.17,4.30,4.01,13.43,nan,nan,10.49,9.21,25.16,8.85,41.22,nan,9.69,nan,17.80,nan,8.45,23.84,14.84,19.73,14.55,3.99,16.71,9.99,22.29,1,0.5665
10.04,37.49,41.55,9.38,30.56,25.23,30.54,36.95,nan,22.99,56.72,2.02,5.18,3.60,11.01,13.14,14.99,9.11,11.01,13.67,13.85,24.12,9.77,8.59,1.90,16.18,12.73,9.62,40.35,10.77,11.34,18.38,3.56,20.43,9.72,13.99,0,0.5158
12.35,39.09,70.96,4.63,16.94,29.64,29.76,48.32,nan,27.96,57.01,1.54,5.09,4.24,9.15,15.90,9.86,7.60,16.93,20.78,8.66,45.88,6.49,10.34,1.98,23.70,19.15,6.92,51.52,14.71,18.88,17.81,4.99,8.56,2.40,14.98,2,0.5681
nan,43.51,35.53,9.97,35.89,31.19,28.84,26.83,6.30,24.95,46.14,2.67,1.51,2.05,7.85,10.60,16.91,11.88,12.58,11.87,18.14,13.73,9.39,12.09,5.44,10.00,16.30,7.59,33.65,13.35,14.77,14.49,2.94,19.04,nan,20.15,4,0.5068
9.85,32.65,30.26,8.01,25.92,39.09,46.79,41.85,4.30,29.33,38.60,nan,6.34,4.48,6.41,19.70,14.64,7.31,6.86,17.81,10.23,40.92,11.98,6.46,4.05,14.81,7.21,10.69,42.04,12.06,10.56,19.20,2.34,8.63,12.97,21.53,1,0.5299
13.62,17.24,45.38,8.65,44.28,15.33,9.51,62.73,2.68,12.22,27.64,5.23,5.38,4.31,11.69,7.36,26.66,7.83,11.33,21.31,4.32,31.38,13.47,7.58,2.87,25.68,7.82,11.27,60.92,15.70,7.08,2.13,4.54,18.25,12.45,10.21,4,0.4894
9.88,66.75,33.65,8.43,28.36,38.04,41.60,27.07,2.62,35.89,63.97,3.67,4.90,1.97,11.89,21.85,13.89,16.79,12.80,6.98,15.92,28.00,12.44,nan,1.19,17.02,18.77,15.41,20.60,12.28,18.39,20.43,3.60,16.25,8.29,16.11,0,0.5747
6.17,44.71,47.47,14.57,15.31,46.78,69.61,22.32,4.27,42.82,29.59,3.43,2.30,4.30,2.47,17.87,10.68,1.97,7.93,17.76,8.46,50.94,17.78,9.69,4.56,10.60,23.17,5.61,7.17,13.97,26.40,24.88,2.25,21.65,7.71,16.26,3,0.5362
8.61,24.27,43.01,9.82,nan,13.89,41.79,47.13,nan,40.01,87.82,5.26,1.95,4.09,8.81,10.33,7.91,13.74,13.39,4.60,6.56,32.99,7.48,3.43,2.96,20.65,21.21,5.94,27.91,10.46,8.66,24.69,4.01,10.85,7.05,13.13,0,0.5254
15.04,59.16,36.31,5.62,nan,nan,nan,24.80,2.66,38.83,50.16,3.51,5.15,3.64,8.29,14.16,18.84,10.80,12.77,17.21,17.67,23.70,18.01,9.33,4.01,14.13,23.87,12.69,31.17,12.80,18.29,18.64,4.86,23.17,8.06,20.16,4,0.5557
7.82,57.98,50.54,10.20,36.14,40.97,nan,35.88,5.59,29.63,46.36,3.27,4.41,3.34,9.54,16.94,12.50,11.89,16.04,14.33,16.07,nan,12.32,10.51,1.87,20.23,21.71,11.75,26.10,14.29,19.11,8.84,1.65,17.13,11.47,14.62,4,0.5678
6.44,28.43,50.55,9.54,36.37,15.22,41.01,56.15,3.72,35.97,84.97,3.75,nan,6.40,8.83,nan,0.87,15.77,13.67,9.63,4.69,45.56,8.16,7.00,3.21,21.71,25.15,7.30,21.89,9.74,6.79,19.40,5.08,8.58,9.55,8.73,0,0.5383
9.96,19.23,18.58,0.00,24.70,17.25,17.39,27.62,5.42,16.20,46.28,1.21,3.22,3.20,12.95,10.85,25.16,11.89,11.36,10.57,9.07,21.44,13.67,16.92,nan,3.79,4.61,12.73,53.07,17.01,nan,16.36,5.60,7.21,10.40,7.12,5,0.4315
9.41,43.28,41.30,nan,24.44,30.75,37.23,26.33,3.38,25.74,61.14,2.05,5.14,3.83,8.93,15.18,12.90,8.79,nan,12.30,17.81,24.81,11.06,8.28,2.49,13.88,14.73,7.13,28.83,8.42,nan,16.61,3.38,21.73,12.83,14.19,0,0.5148
17.03,43.49,25.83,8.25,33.19,19.57,26.39,43.77,3.68,31.65,48.97,3.20,3.51,3.60,12.79,8.59,nan,7.16,6.66,14.31,nan,nan,14.79,5.94,3.09,13.99,14.85,15.90,40.66,nan,9.21,10.91,1.99,20.62,6.90,17.00,5,0.4945
5.39,58.20,39.27,9.34,32.24,47.66,25.90,nan,3.14,35.53,33.60,1.67,3.09,nan,11.13,11.86,15.59,7.48,9.14,14.96,15.47,37.93,7.97,10.40,4.97,16.39,17.87,16.29,43.42,11.10,21.40,17.15,2.45,10.33,nan,24.21,1,0.5628
9.24,21.99,45.13,6.81,40.52,17.22,17.11,53.45,2.71,20.77,26.16,2.91,nan,1.95,11.61,4.50,nan,5.36,7.87,18.85,4.61,41.84,15.96,7.47,2.69,23.71,nan,9.68,50.09,12.28,13.12,5.27,2.29,23.14,nan,9.73,4,0.4768
9.98,20.49,nan,7.54,23.80,9.58,25.99,57.04,3.63,30.73,86.92,2.32,3.27,2.94,11.92,2.88,10.57,8.01,12.15,12.05,8.77,40.33,12.02,9.71,3.18,22.65,24.11,2.18,44.75,7.39,5.89,22.24,1.72,7.34,5.16,9.70,0,0.5052
10.01,39.63,26.11,11.44,33.26,34.16,40.98,26.28,4.77,29.60,49.97,3.09,5.40,2.37,7.88,12.39,12.54,6.82,7.15,9.41,19.04,32.06,nan,9.92,3.07,14.10,14.30,15.17,34.46,12.75,12.60,17.05,3.93,17.70,15.80,10.47,0,0.5207
9.12,28.01,31.20,12.35,32.13,20.95,26.25,40.74,2.23,9.44,52.81,3.70,nan,3.39,14.70,9.10,25.55,13.88,12.01,10.26,10.87,11.64,14.16,13.87,4.95,8.81,8.78,3.82,38.91,14.47,10.47,20.10,3.05,9.32,nan,12.20,5,0.4719
10.69,42.03,60.69,14.52,17.31,35.85,57.25,42.98,4.04,27.22,65.82,5.41,5.46,6.06,10.46,19.78,8.22,7.53,15.17,nan,8.81,48.91,nan,6.02,7.03,21.22,21.82,2.90,8.24,9.74,21.02,16.14,1.00,10.93,10.75,5.77,2,0.5502
15.71,34.79,50.17,nan,46.92,41.68,39.51,29.77,3.11,11.40,0.00,4.47,5.47,3.85,9.46,19.26,17.31,4.22,15.91,20.97,7.61,17.92,6.32,14.12,4.78,8.77,10.11,16.89,50.55,25.64,23.60,9.58,4.61,18.70,12.04,16.38,1,0.5515
nan,33.61,30.85,5.35,31.70,27.38,44.10,28.93,4.72,30.70,nan,2.28,3.53,5.10,9.49,14.15,20.80,5.42,5.45,16.66,7.29,33.35,13.30,7.83,4.98,10.79,14.65,13.04,27.14,16.47,21.29,10.50,2.57,20.69,13.42,17.68,1,0.4804
5.31,45.20,38.30,6.91,25.25,32.22,26.89,41.04,3.08,32.62,52.98,5.33,4.28,3.02,10.45,10.67,10.63,10.21,12.17,14.67,nan,37.55,14.02,5.77,2.93,12.76,14.37,nan,nan,11.46,12.96,11.57,3.13,nan,7.34,12.97,5,0.5014
9.01,51.41,40.10,10.64,28.35,40.31,35.45,23.14,3.65,nan,51.53,1.47,4.78,3.47,8.80,12.60,12.55,nan,13.42,9.74,17.93,25.31,11.30,14.89,3.39,9.83,20.10,7.80,28.33,8.24,18.16,14.95,2.98,15.54,9.35,nan,4,0.5263
9.49,54.10,30.38,6.83,26.19,33.95,nan,27.50,1.46,41.12,38.97,5.41,1.98,2.93,10.67,11.42,21.07,6.27,6.52,13.53,14.01,32.61,17.46,nan,4.34,14.97,24.25,11.47,17.18,8.20,21.14,14.06,4.07,23.71,13.20,21.06,1,0.5167
13.45,57.67,21.24,10.41,16.32,27.84,47.34,16.64,4.50,22.45,46.55,4.07,3.47,2.99,11.14,nan,25.39,16.14,4.72,7.29,22.14,8.66,13.48,5.20,3.48,8.73,6.58,9.72,15.01,14.98,25.23,22.40,1.72,23.12,7.27,15.86,3,0.4906
13.15,59.24,36.90,10.39,nan,33.63,32.49,36.26,2.93,20.85,47.22,3.57,nan,4.56,14.66,15.69,20.44,13.14,11.66,15.28,19.00,18.69,nan,11.03,3.49,13.16,20.87,11.58,28.54,14.59,nan,15.01,nan,12.67,9.02,16.99,0,0.5386
11.32,59.25,23.52,nan,15.80,38.33,32.26,22.63,1.89,25.83,nan,5.58,2.02,2.17,8.18,17.57,23.60,12.36,6.59,13.65,17.75,20.04,10.95,11.39,3.62,8.79,19.89,nan,22.86,7.37,18.71,16.75,nan,18.44,12.43,18.36,4,0.4973
10.58,nan,65.29,11.57,nan,nan,21.00,52.31,4.53,7.86,30.73,2.84,3.92,4.31,7.88,11.28,25.61,6.41,20.40,21.87,3.96,24.82,8.63,4.90,nan,25.71,10.29,nan,58.17,25.78,11.90,6.95,3.15,17.76,15.02,9.32,4,0.5051
14.53,59.25,32.11,9.78,34.20,39.90,nan,22.21,4.54,50.62,57.21,3.74,3.73,5.70,5.58,11.79,5.37,8.72,12.91,8.14,18.67,36.51,16.10,8.46,1.64,14.47,22.49,16.55,26.15,8.65,19.93,16.99,0.88,17.81,13.18,19.13,1,0.5919
14.17,44.76,51.17,7.48,1.75,32.00,24.71,30.06,4.65,13.59,64.44,5.28,4.25,4.25,8.00,21.79,17.20,8.99,16.38,19.15,21.15,14.65,4.87,4.74,2.78,13.52,17.29,7.87,35.31,9.01,12.42,14.90,2.92,20.52,9.15,10.73,4,0.4967
10.26,47.28,30.44,8.07,37.83,nan,36.04,35.83,4.06,32.50,34.55,4.88,5.41,3.68,10.89,16.73,21.79,8.12,7.34,12.41,9.34,36.36,16.87,11.44,4.44,20.73,11.11,13.52,38.34,12.50,14.49,13.50,2.77,19.84,9.70,19.11,5,0.5439
16.74,55.45,58.24,10.76,12.71,46.22,17.01,34.88,3.07,21.95,52.43,2.25,3.47,6.54,10.49,14.46,17.97,6.65,24.27,20.39,21.51,17.24,10.27,10.07,3.45,14.53,14.40,12.01,65.58,14.31,17.95,19.11,3.57,10.45,2.73,18.43,2,0.5886
7.88,62.76,19.44,11.43,38.54,49.94,50.20,nan,3.90,38.27,25.57,3.98,3.89,4.60,14.93,20.75,24.82,11.85,nan,5.08,5.04,18.80,15.19,7.70,4.99,5.91,11.24,20.74,16.10,12.53,28.23,21.74,3.55,23.03,18.05,22.08,2,0.5671
9.81,3.73,22.11,8.48,23.97,16.69,35.15,33.92,3.77,nan,52.51,3.10,2.95,3.37,nan,7.42,25.26,7.47,10.04,11.60,7.02,15.64,13.83,10.69,2.74,5.26,9.50,3.10,46.15,14.51,4.87,24.42,6.55,9.20,13.85,14.13,5,0.4388
13.40,22.33,44.57,8.94,37.54,12.28,19.71,51.97,2.97,0.00,39.74,3.57,2.70,5.59,13.87,10.21,24.96,5.96,3.00,19.17,12.28,30.35,12.52,11.06,4.40,26.27,8.76,7.04,48.37,12.50,8.49,5.79,2.19,23.09,15.91,4.40,4,0.4644
9.52,32.45,27.36,8.92,14.46,16.87,30.53,40.17,4.66,16.73,61.51,2.81,2.17,3.64,15.09,12.95,24.05,13.78,8.90,8.67,8.61,nan,16.59,9.49,nan,nan,10.54,6.45,19.87,8.93,11.44,18.83,2.91,12.06,6.06,3.80,5,0.4301
7.18,28.11,50.76,10.06,23.31,18.93,41.72,67.27,4.26,39.56,95.76,3.33,2.07,4.29,13.28,15.29,2.35,11.61,14.84,12.32,6.65,49.96,13.15,2.99,4.13,23.30,27.76,5.96,26.32,10.09,nan,23.64,4.15,0.00,3.76,10.09,0,0.5416
9.13,46.69,32.74,10.67,21.09,42.66,40.34,29.01,4.87,28.82,45.67,4.50,4.97,4.51,6.92,14.32,nan,7.64,9.30,12.77,20.11,32.00,nan,nan,2.47,13.00,14.94,10.34,29.23,10.57,17.70,15.87,3.45,12.67,14.46,16.71,1,0.5245
12.02,11.00,27.53,8.44,31.91,10.13,21.90,41.32,nan,12.23,56.56,5.60,2.68,3.72,14.91,9.46,24.44,10.45,11.55,7.47,7.93,7.87,9.48,12.29,5.28,8.72,6.82,5.14,nan,16.23,4.33,16.92,2.86,8.66,4.64,12.49,5,0.4361
4.51,48.25,49.28,9.94,31.39,35.46,53.16,25.68,3.86,32.29,36.46,3.85,4.57,2.70,12.32,19.41,10.86,5.14,9.26,17.07,13.74,29.30,10.62,nan,3.49,11.42,22.17,7.22,13.03,17.65,22.33,18.65,1.72,24.70,7.83,20.82,3,0.5287
9.49,62.80,34.64,8.60,26.53,46.04,31.55,25.38,nan,32.22,44.12,2.27,4.53,2.48,8.09,16.15,15.27,11.88,15.26,13.61,22.03,25.96,15.06,8.89,5.07,11.63,nan,13.21,31.94,11.25,18.18,12.60,0.78,17.27,9.59,18.93,4,0.5474
13.78,36.71,49.71,10.89,17.21,33.70,nan,20.84,3.62,33.54,43.10,6.84,2.28,4.49,6.74,22.40,8.39,2.18,12.26,17.52,11.27,24.06,10.98,7.19,2.90,5.74,20.34,2.32,16.44,nan,20.38,21.94,4.29,21.44,3.95,23.01,3,0.5231
6.12,38.94,39.06,3.74,18.11,35.75,30.23,21.51,3.47,24.73,nan,3.53,4.88,4.15,7.85,9.92,17.58,6.05,9.26,nan,21.52,29.42,10.66,13.30,1.84,10.38,13.92,7.03,47.10,15.57,17.58,21.36,1.43,12.96,11.79,17.99,4,0.5088
16.08,41.20,39.88,12.17,31.89,nan,25.64,40.10,4.22,17.77,52.98,5.68,2.78,4.68,9.77,9.50,18.77,10.24,12.00,13.34,19.25,20.77,nan,10.54,4.48,18.91,14.79,10.44,45.74,13.09,13.02,11.92,1.63,15.39,10.83,11.49,2,0.5282
10.39,49.39,34.95,14.71,30.63,41.88,44.21,30.17,4.12,32.09,nan,4.71,3.55,3.22,8.19,13.92,14.41,6.86,10.69,12.67,18.21,28.35,15.52,11.23,4.89,12.43,18.56,10.32,29.83,14.43,nan,17.72,5.74,14.88,7.82,18.31,1,0.5461
14.60,49.80,34.97,4.96,24.81,34.40,39.51,36.04,5.25,38.07,nan,4.58,5.96,1.37,6.74,13.44,16.00,nan,10.95,14.86,13.28,41.28,18.31,6.75,4.45,19.07,11.97,11.51,36.00,6.34,16.46,13.25,nan,16.69,12.75,18.53,4,0.5516
10.34,45.24,40.66,11.36,20.72,34.39,23.19,48.37,3.94,nan,51.12,4.29,1.82,5.46,10.65,14.26,22.97,10.44,11.87,17.40,14.72,31.04,15.85,8.64,3.54,20.02,15.33,8.73,39.48,10.44,10.73,14.98,4.46,13.08,8.01,13.01,3,0.5211
9.19,41.76,43.38,8.65,34.82,33.04,32.80,nan,2.97,32.60,48.90,1.28,3.62,5.63,9.99,8.71,17.49,7.84,11.74,16.18,nan,32.65,12.19,7.84,3.66,20.76,20.74,11.26,44.77,12.63,16.67,19.79,4.22,16.02,16.56,20.22,3,0.5676
8.33,47.78,40.28,11.35,27.81,31.94,34.02,36.10,4.25,22.72,46.12,2.47,3.80,3.42,9.15,14.56,16.61,12.14,11.24,13.82,14.74,nan,13.24,11.33,3.64,11.37,nan,4.93,20.12,9.96,15.73,12.22,3.03,17.39,6.38,15.97,4,0.4937
10.00,52.77,nan,10.77,22.40,nan,28.56,17.32,3.97,24.46,50.34,4.26,4.66,2.72,11.47,7.83,26.25,12.56,12.41,6.15,19.79,3.03,11.55,8.65,5.37,8.01,10.81,6.12,27.47,9.63,23.27,nan,2.32,23.55,7.88,19.70,3,0.4962
10.00,40.93,nan,11.88,28.53,33.35,17.67,30.08,4.01,20.20,43.52,3.58,2.54,4.95,10.04,7.13,24.84,9.90,10.62,nan,20.92,7.86,10.83,9.08,3.35,7.71,13.23,13.82,46.28,11.22,11.24,nan,2.90,16.15,14.09,17.26,4,0.4894
9.92,35.81,29.67,7.32,33.35,28.96,43.56,33.38,3.08,25.55,37.91,5.42,4.55,3.91,8.91,12.98,15.55,8.86,5.65,16.91,12.98,27.06,11.59,11.03,4.58,8.79,14.12,8.54,34.68,12.51,14.46,18.80,0.94,13.64,13.71,22.21,0,0.5076
